# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.14533573588512735 19216472386.29929
0.14678909324397862 18607872812.067055
0.14825698417641842 18018548026.376144
0.1497395540181826 17447887582.737484
0.15123694955836442 16895300367.943785
0.15274931905394806 16360213989.770294
0.15427681224448755 15842074184.06791
0.15581958036693244 15340344240.633883
0.15737777617060178 14854504447.265667
0.1589515539323078 14384051551.421919
0.16054106947163088 13928498238.933033
0.1621464801663472 13487372629.221619
0.16376794496801067 13060217786.509283
0.16540562441769077 12646591246.504108
0.1670596806618677 12246064558.078264
0.16873027746848637 11858222839.460829
0.17041758024317125 11482664348.48659
0.17212175604560295 11119000066.455185
0.173842973606059 10766853295.169653
0.17558140334211958 10425859266.737415
0.17733721737554078 10095664765.72872
0.1791105895492962 9775927763.301868
0.18090169544478918 9466317062.915844
0.18271071239923709 9166511957.263607
0.18453781952322945 8876201896.070349
0.18638319771846174 8595086164.41301
0.18824702969564636 8322873571.227564
0.1901294999926028 8059282147.681533
0.19203079499252884 7804038855.099212
0.19395110294245413 7556879302.137177
0.19589061397187868 7317547470.917008
0.19784952011159748 7085795451.831576
0.19982801531271346 6861383186.750289
0.2018262954658406 6644078220.357101
0.203844558420499 6433655459.363893
0.205883004004704 6229896939.349706
0.20794183404475103 6032591598.984429
0.21002125238519853 5841535061.402836
0.2121214649090505 5656529422.5028
0.21424267955814102 5477383045.948175
0.21638510635372243 5303910364.664207
0.21854895741725966 5135931688.619485
0.22073444699143227 4973273018.695858
0.2229417914613466 4815765866.453022
0.22517120937596008 4663247079.601442
0.22742292146971968 4515558673.002497
0.22969715068441687 4372547665.021177
0.23199412219126103 4234065919.0614305
0.23431406341317365 4099969990.120327
0.2366572040473054 3970120976.2018685
0.23902377608777844 3844384374.43674
0.24141401384865624 3722629941.758695
0.2438281539871428 3604731559.9935884
0.24626643552701424 3490567105.2210436
0.2487290998822844 3380018321.2735224
0.25121639088110725 3272970697.241812
0.25372855478991835 3169313348.860013
0.2562658403378175 3068938903.6470656
0.2588284987411957 2971743389.686038
0.26141678372860766 2877626127.9257684
0.26403095156589373 2786489627.8934436
0.2666712610815527 2698239486.710012
0.2693379736923682 2612784291.303851
0.2720313534292919 2530035523.721418
0.27475166696358483 2449907469.4367447
0.2774991836332207 2372317128.56489
0.2802741754695529 2297184129.887268
0.28307691722424844 2224430647.5998955
0.28590768639649095 2153981320.6982718
0.28876676326045586 2085763174.9153988
0.2916544308930604 2019705547.132071
0.29457097520199105 1955740012.1811635
0.29751668495401096 1893800311.9700522
0.3004918518035511 1833822286.8478394
0.3034967703215866 1775743809.146133
0.3065317380248025 1719504718.82473
0.3095970554050505 1665046761.1553943
0.31269302595910103 1612313526.379254
0.315819956218692 1561250391.2752872
0.31897815578087896 1511804462.5793684
0.32216793733868776 1463924522.1952987
0.3253896167120746 1417560974.1410055
0.32864351287919535 1372665793.1750395
0.3319299480079873 1329192475.0500603
0.33524924748806717 1287095988.3418686
0.33860173996294785 1246332727.8040338
0.3419877573625773 1206860469.1997955
0.3454076349362031 1168638325.5645068
0.3488617112855651 1131626704.853253
0.35235032839842073 1095787268.929803
0.35587383168240494 1061082893.854426
0.359432569999229 1027477631.4293963
0.3630268956992213 994936671.9624102
0.3666571646562135 963426308.2092762
0.37032373630277565 932913900.4586053
0.3740269736658034 903367842.7222612
0.37776724340246143 874757529.9966117
0.38154491583648603 847053326.560609
0.3853603649948509 820226535.2779219
0.3892139686447994 794249367.871273
0.3931061083312474 769094916.1382244
0.39703716941455985 744602889.3105341
0.40100754110870546 720825315.2959952
0.4050176165197925 697806058.111886
0.40906779268499044 675582824.2932402
0.41315847061184036 654007066.2596492
0.41729005531795876 633119560.3718867
0.42146295587113836 612955271.8244369
0.42567758542984974 593322400.295653
0.42993436128414825 574424199.7891397
0.43423370489698976 556075776.8108183
0.43857604194595967 538312879.56096
0.44296180236541927 521116505.8261411
0.4473914203890735 504468637.81654465
0.45186533459296424 488398773.8099721
0.4563839879388939 472795195.120196
0.46094782781828286 457689423.8084704
0.4655573060964657 443108604.71035194
0.4702128791574303 428950258.4375913
0.47491500794900465 415243710.2837337
0.4796641580284947 401974577.14790887
0.4844607996087797 389128931.77585095
0.4893054076048675 376693288.417997
0.4941984616809162 364654339.9875765
